name,byname,belonging,population,girls_population,mailaddress,twitter,homepage,"Youtube,インスタグラムなどのその他アカウント",campus,area,clubroom,festival,festival_doing,intercollegiate_group,intercollegiate_population,affiliated_schools,action_day,minimum_day,action,action_career,sponsor,need_tool,april,may,june,july,august,september,october,november,december,january,february,march,nomikai_frequency,nomikai_intensity,couple,handsome_beauty,honest,serious,past_questions,find_work,introduction
フラサークル Pilialoha,,独立団体,76,76,hulateam.pilialoha@gmail.com,@Pilialoha4,,Instagram→ keio_pilialoha_hula YouTube→Pilialohaフラサークル,日吉,協生館･集会室･学生会館（3つとも日吉キャンパスです）,学生会館402,参加した,メインステージ・ミニステージ・演舞場ステージ,,,,火･木,強制ではないが火曜か木曜どちらかは来て欲しい,練習（１ヶ月に3回、外部講師によるレッスンあり）・ステージ出演,,,練習着（Tシャツ、スカート（貸出あり））、やる気,新歓オリエンテーション･新宿マルイ10周年イベント（2019年）,湘南フラガーデン･三井アウトレットパーク多摩南大沢アロハフェス（2019年）,早慶戦試合前企画（2019年）,七夕祭,夏合宿･ハワイアン三田会,特になし,矢上祭･連合三田会･三田祭PRイベント（2019年）,三田祭,クリスマスイベント（2019年）,特になし,春合宿･オリジナル公演,特になし,なし～年1回,飲まない,いない,全員,普通,セミプロ,全くない,先輩方がとても優しいので色々教えてくれます！,"慶應唯一の公認フラダンスサークルです🌺
 とても仲が良く、心が温まるサークルです☺️小さいイベントから大きいイベントまで、1年を通してたくさんのステージがあります！小さいイベントの参加は任意なので、兼サーもしやすいです🙆‍♀️同期でディズニーやクリスマスパーティーをしたり、ステージ以外でも楽しめて、このサークル1つでも十分すぎるほど充実した大学生活を送れます✨基本みんな初心者で、先輩方が1から丁寧に教えてくれるのでご安心を！大学でなにか新しいことに本気で取り組みたい方はぜひ🙌"
アーチェリー同好会,KAA,独立団体,94,56,kaajwufaa31415@gmail.com,@kaajwufaa,https://kaajwufaa1.com/home/,,日吉,新宿区スポーツセンター、港区スポーツセンター、中央区スポーツセンター,日吉食堂3階学生団体スペースN-38,参加しなかった。,,,,日本女子大学フィールドアーチェリー同好会,木曜日、日曜日,特になし,基本的には新宿区スポーツセンターで30メートルの距離から的を撃ちます。新歓期は新入生に慣れてもらうために、10メートルから始めます。先輩に教わりながらのびのびとアーチェリーを楽しむことが出来ます。,春・秋の五大戦にて個人での入賞あり,,弓具一式（新歓期は貸出あり）、楽しむ心,新歓オリエン、試射会,新歓合宿、試射会,春季五大戦、前期納射会,特になし、テスト頑張れ！,花火大会、前期打ち上げ、夏合宿,BBQ,秋季五大戦,総会、インドア戦,後期納射会、後期打ち上げ,新年会,追いコン、春合宿、スキー旅行,球技大会,半期に1回～月1回,普通,普通,全員,普通,同好会,出回ったのを見たことがある。,執筆者自身まだ就職したことないのでわかりませんが、アーチェリーをやるうえで鍛えられるその集中力、精神力というものは就職活動をしていく中でも大いに役立つでしょう。就活では業界研究、OBOG訪問、ES作成、面接などなど、これらの作業を何十社とやっていくことが求められるわけです。いってしまえば同じようなことの繰り返しです。その点、アーチェリーにも通ずる点はあるでしょう。矢をつがえ、弓を引き、狙いを定め、慎重に矢を放ち、回収しに行く。この作業を延々と繰り返します。するとそのうち、一つのことを気を緩めることなく長きにわたって続けられる精神的なタフさというものが身に付きます。これこそ、ほかの就活生にはない、アーチャー独自の強みと言えるのではないでしょうか。,既にアーチェリー同好会に興味を持ってくれている人、あるいは他のサークルに入ろうと決めている人、はたまたサークル選びに迷っているそこのあなた。我々はそんな全ての新入生に対して門戸を開いています。ところで、アーチェリー同好会というと、皆さんはどのようなイメージを持っているでしょうか。パッとしない、何やってるのかよくわかんない、難しそう、といったところでしょうか。何を隠そう、私自身も入サー前はそう思っていました。しかし興味本位で新歓期の試射会に行って以降、そのイメージは一変しました。毎回の練習では上級生が弓のことだけでなく、大学生活のアレコレも教えてくれたり、飲み会や合宿はレクリエーションが豊富で賑やかで、練習以外にもほぼ毎月イベントもあって楽しいじゃないか！と。そんな私は今では部長となり新入生を招き入れる立場となっています。人生何があるかわからないもんです。ですので皆さん、ぜひ一度新歓期に練習に足を運んでみてください、あなたの人生が変わるかもしれませんよ。
慶應義塾大学医学部【アフリカ医療研究会】,アフリカ医療研究会,その他公認団体,24,16,keio.med.africa@gmail.com,なし,http://keiomed-africa.jimdo.com/,facebook “アフリカ医療研究会”,信濃町,信濃町キャンパス 孝養舎,信濃町キャンパス 第二校舎,参加しなかった。,,,,SFC 長谷部研究会,週1,基本的に全参加,夏の渡航に向けてのミーティング,"2012-2017 コンゴ民主共和国Acadex小学校にて健康教育、健康診断活動
 2019 ザンビア共和国にて健康教育、健康診断活動、TICAD7ポスター発表",花王、テルモ,親御さんの許可(渡航する場合),週1ミーティング,週1ミーティング,週1ミーティング、渡航準備,週1ミーティング、渡航準備,アフリカ渡航、渡航の反省、学会発表準備,月数回のミーティング、渡航の反省、学会発表準備,月数回のミーティング、学会発表,月数回のミーティング、信濃町キャンパスでの報告会、学会発表,月数回のミーティング,月数回のミーティング,月数回のミーティング、引き継ぎ,追いコン,半期に1回～月1回,控え目,少なめ,普通,真面目,セミプロ,出回ったのを見たことがある。,国際問題へ関心を向け、真面目に向き合うこと、そして、アフリカ渡航という貴重な経験はきっと後の人生の役に立つはずです！,本会はアフリカの医療に興味のある、医学部、薬学部、看護学部の3学部が合同行なっている学生団体です。
猫サークル ひよねこ,ひよねこ,未公認団体（学校に届けを出している団体）,20,10,hiyoneko.keio@gmail.com,@hiyoneko22,http://www.hiyoneko.com/,,日吉,日吉キャンパス内,なし,参加していない,なし,,,大学ねこ連盟 U-Cats所属大学,月曜日、木曜日,特になし,地域猫活動（猫の餌やり）、猫カフェ訪問,地域猫活動はボランティアです。,,なし,新歓食事会 オリエンテーション,第一回総会、新歓合宿,特になし,特になし,特になし,夏合宿,矢上祭,特になし,特になし,特になし,納会,特になし,なし～年1回,飲まない,いない,普通,普通,同好会,出回ったのを見たことがある。,履歴書には書けるかもしれない,"ひよねこは、慶應唯一の地域猫サークルです！
 地域猫活動について学ぶ活動をしています。猫カフェ訪問なども随時行っており、ネコが好きなメンバーが集って楽しく活動しています。
 ネコの活動以外にも、食事会や旅行など、楽しいイベントを計画しています！"
"アトラクション同好会""AURORA""",AURORA、アト同,未公認団体（学校に届けを出している団体）,30,10,enjoyaurora2017@gmail.com,@enjoyaurora2017,,,矢上,遊園地、日吉キャンパスの教室、三田キャンパスの教室,,参加した,屋台でタピオカ&チュロスを販売,帝京平成大学、成城大学、東京大学、法政大学,,,不定期、月1程度,特になし,遊園地入園。食事会。大学でのミーティング。,"昨年は都内や横浜の遊園地の他に、夏合宿では三重県の長島スパーランドへ行きました。
 富士急ハイランドやディズニーランドへも行きます。",,少しのお金,新歓オリエンテーション、食事会,遊園地活動,遊園地活動、食事会,,遊園地活動、食事会,夏合宿,遊園地活動,三田祭,遊園地活動、忘年会,,遊園地活動,遊園地活動、来年度に向けての準備,半期に1回～月1回,控え目,いない,普通,真面目,同好会,出回ったのを見たことがある。,,こんにちは！アトラクション同好会、AURORAです。遊園地でアトラクションを楽しむことを目的とし、週末や長期休みを利用して遊園地に行きます。行き先はメンバーで相談して決め、近場から遠方まで様々な遊園地に行きます。最近だと富士急ハイランド、ディズニーランド、よみうりランドなどにみんなで行きました。絶叫系のアトラクションに乗るイメージがあるかもしれませんが、様々な種類のアトラクションに乗るので、絶叫系が得意な方も、苦手な方も、大歓迎です！また、定期的に食事会などのイベントも行っています。まだ発足2年半の新しいサークルですので、一緒にサークルを作り上げたいという方も大歓迎です！少しでも興味があれば、ご連絡ください。お待ちしております！
日本舞踊研究会 宝,日舞研 宝,未公認団体（学校に届けを出している団体）,28,20,keio_nichibu@yahoo.co.jp,@keio_nihonbuyou,,Instagram: keio_nichibu,"日吉, 三田",日吉キャンパス第四校舎、三田いきいきプラザ,,参加した,メインステージ、ミニステージにて日本舞踊を披露しました。,,,,水曜日・土曜日,特になし,ベテランの先生による日本舞踊のお稽古、学生同士での日本舞踊の練習、様々なイベントによる留学生も含めた部員同士の交流,,,浴衣（浴衣の着付け練習会、購入会も行います）、扇子など舞踊に用いる小道具を必要に応じて,新歓オリエンテーション,,留学生送別会,,,（主に留学生を対象とした）新歓活動,,三田祭,クリスマスパーティー,,,合宿,半期に1回～月1回,飲まない,いない,多め,真面目,同好会,全くない,,"慶應義塾大学唯一の日本舞踊サークルです！2017年に設立し、一昨年から三田祭に参加、日本人だけでなく留学生と共にお江戸日本橋や元禄花見踊などを披露し、唯一無二の国際交流と伝統芸能のステージをお届けしています！
 設立以来、10カ国以上の留学生と一緒に活動しておりますので、色々な国の方と友達になりたい、という方にもぴったりのサークルです！
 さて、日舞というと敷居の高いイメージがありますが、当サークルは破格の値段で日舞が習えます！また、明るく、柔らかく、上品な雰囲気があり、気軽に日舞を始められます！ほぼ部員全員が大学から始めた初心者です！
 稽古は週2回、参加頻度は柔軟に調整できるので、兼サー歓迎です！慶早戦観戦や浅草散策、クッキング会、合宿、スイーツ会などイベントが活発に開かれ、部員間の交流は多いです！男女問わず入部大歓迎です！体験会や新歓ブースに是非足をお運びください！
 体験会では、ベテランの藤間毬宝先生に着付けや踊りを教えていただくことができます！質問などお気軽にどうぞ！インスタやTwitterで活動の様子などご紹介しておりますので、そちらもぜひご覧ください！"
特撮映像研究会,特撮研,未公認団体（学校に届けを出している団体）,6,1,century316kasa@gmail.com,なし,,なし,三田,教室など,なし,参加していない,なし,,,,月2回,月に1回以上は参加,動画撮影,,,,新歓,動画撮影(1),動画撮影(1),,夏合宿,動画撮影(2),動画撮影(2),三田祭出展,年末総会,,動画撮影(3),動画撮影(3),半期に1回～月1回,普通,普通,多め,うぇーい,遊び,まあ出回る,,特撮映像研究会は慶應義塾大学の学生による未公認サークルです。主な活動は特撮映像の撮影制作や映画の鑑賞会などです。活動頻度は時期にもよりますが、月1から2回です。設立してからあまり日が経っていないため、部員は少ないですが、各々が活発に活動しています。活動の詳細はメールアドレスまでご連絡いただければ何でもお応えします。興味のある方、ぜひ一度ご連絡ください！
ケルト音楽愛好会,k-celt,独立団体,17,5,keiocelt@gmail.com,@keiocelt,,,日吉,塾生会館322、J436A、J436B,塾生会館322,参加した,アイリッシュカフェを出店し、アイルランド伝統音楽の生演奏や飲食の提供を行った,,,,毎週火・金,特になし,セッションで良く出る曲覚え、曲のシェア、楽器の練習、セッション,,,楽器（最初は先輩が貸してくれます）,新歓オリエンテーション,五月祭（東大の学祭）に演奏参加,日吉駅近くのアイリッシュパブO'Brien'sでライブ,特になし,合宿（昨年度は河口湖へ）,特になし,日吉駅近くのアイリッシュパブO'Brien'sでライブ,三田祭にアイリッシュカフェ出店、生演奏,矢上キャンパスでウィンターコンサート,特になし,追いコン,新歓準備,半期に1回～月1回,普通,少なめ,普通,普通,同好会,出回ったのを見たことがある。,,"アイルランド伝統音楽を中心にケルト音楽を練習します。ファンタジー系のゲームの曲や映画のサウンドトラック等でも耳にすることが多く、意外にも日本人には馴染み深い音楽です。無印良品の店内BGMにもなってますね(笑)
 活動では、アイリッシュバーなどで行われるセッションに混ざれるように、楽器を演奏出来るようにしたり曲を覚えたりします。アイルランドの民族楽器にはティンホイッスルという1000円台から買える安い楽器があるので、みんな最初はそれから始めます。後に自分で興味が出てきた他の楽器（バンジョー、イーリアンパイプス、アコーディオン、コンサ―ティーナなど）を買ったり借りたりして演奏できるようにしていきます。インカレサークルではないものの、他の大学のケルト音楽サークルと仲が良く、頻繁に交流したり練習会に遊びにいったりします。"
折禅,折禅,未公認団体（学校に届けを出している団体）,44,23,orizen.keio@gmail.com,@keio_origami,,https://m.facebook.com/orizen,日吉,第4校舎A棟,なし,参加した,折り紙作品の展示/観に来てくれた子供達に折り方を教える,,,なし,週2回,特になし,普段の活動は週２日、みんなマイペースに、自由に作品を折っています。自由参加なので兼サーも可能です。,,なし,特になし,新歓/総会,,,,ボランティア活動,矢上祭準備,矢上祭,三田祭準備/三田祭,,,,,半期に1回～月1回,普通,少なめ,普通,真面目,同好会,出回ったのを見たことがある。,,"はじめまして！慶應唯一の折り紙サークル、折禅です。今や日本を代表する芸術である“折り紙”に触れてみませんか？
 普段の活動は週２日、みんなマイペースに、自由に作品を折っています。自由参加なので兼サーも可能です。例年、矢上祭・三田祭に出展したり、小学生に折り紙を教えるボランティアへ参加したりしています。留学生も多く、国際交流もできます。
 メンバーのほとんどが大学から始めた人たちです。経験者、未経験者問わず、折り紙に少しでも興味がある方は、ぜひお越しください！！"
日本模擬国連日吉研究会,ひよけん,未公認団体（学校に届けを出している団体）,21,5,jmun.hiyoshi@gmail.com,@hiyo_ken (新歓アカウント→@hiyoken2020),https://www.jmunhiyoshi.com/,Facebook 日本模擬国連日吉研究会(ひよけん) Instagram @hiyoshi_mun,日吉,33番教室,,参加していない,参加していません,,,,週1、毎週金曜日,特になし。自由に参加してもらっています。,"模擬国連の会議の色んな側面で参考になるようなコンテンツを実施し、勉強会をしています。それだけでなく、夏合宿や前期・後期打ち上げなど多くの楽しめる企画も行っています！
 毎週Twitterなどに活動内容をアップしているのでぜひご覧ください！",,,興味,新歓企画(観光企画)、春の1日会議,新歓会議、通常活動,通常活動、前期会議に向けた準備,前期会議、前期打ち上げ,夏合宿、関西大会などの複数の会議(希望者のみ),秋会議、通常活動,通常活動、後期会議に向けた準備,後期会議,通常活動、引き継ぎ、後期打ち上げ、全日本大会(希望者のみ),通常活動,通常活動,強化会議、通常活動、追いコン,週1回,飲まない,普通,普通,真面目,セミプロ,まあ出回る,,"模擬国連の会議とは、自身が一国の大使になりきり、様々な国際会議を模倣しつつ実践的に体験するものです。そうした会議を作り、参加することを通して私達は会議経験を積んでいます。私達は、模擬国連を通して得られるものはとても大きく貴重なものだと思っています。国際問題や世界情勢、歴史、世界中の国や地域などについての知識はもちろん、読解力や交渉力、発言力、思考力など模擬国連のプロセスで学べるものは多岐に渡ります。また、国連文書の読み取りや英語を用いる会議への参加を通して英語力を鍛えるチャンスもあります。これらの力は模擬国連だけでなく、日々の学業や生活の中でも役立てることができます。
 また、それだけでなくひよけんでは多数の企画を実施しています！前期・後期打ち上げや夏合宿などの大きなイベントの他にも色々な企画が盛んです。企画ではみんなで盛り上がってがっつり遊んでいます！
 日吉研究会は多様性とメリハリを意識していて、「いつも来れる人もそうでない人も」「会議が好きな人もひよけんのコミュニティが好きな人も」どんな人でも私達は歓迎します！！会議をする時は真剣に取り組み、遊ぶ時はしっかり遊んで、メリハリのついた濃密な時間を私達と一緒に過ごしましょう！"
體育會ボクシング部,,体育会,20,4,keioboxing@hotmail.com,@keio_boxing,http://keioboxing.jp/,Instagram：keio_boxing,日吉,日吉蝮谷内ボクシング道場,日吉蝮谷内ボクシング道場,参加しなかった。,,,,,火〜金：17:45 土日：10:00,全参加,練習,関東大学ボクシングリーグ２部準優勝,,練習着、靴,新歓、横浜市民体育大会,リーグ戦,リーグ戦,リーグ戦、納会,夏合宿,,関学戦,全日本選手権大会,早慶戦、納会,試験off,春合宿,追いコン,半期に1回～月1回,普通,少なめ,普通,普通,プロ,まあ出回る,體育會のため縦の繋がりが強く、OBの方々にも協力していただけます。,とても仲が良く楽しい部活です。
